year,total.factor.productivity,base.case.control.rate,mitigation.policy.control.rate,abatement.cost.bau,capital.stock.bau,gross.output.bau,net.output.bau,abatement.cost.mitigation.policy,capital.stock.mitigation.policy,gross.output.mitigation.policy,net.output.mitigation.policy,damages_bau,net.output_bau,consumption.per.capita_bau,damages_0.1reduction,abatement.cost_0.1reduction,net.output_0.1reduction,consumption.per.capita_0.1reduction,percent.change.consumption.per.capita_0.1reduction,damages_0.2reduction,abatement.cost_0.2reduction,net.output_0.2reduction,consumption.per.capita_0.2reduction,percent.change.consumption.per.capita_0.2reduction,damages_0.3reduction,abatement.cost_0.3reduction,net.output_0.3reduction,consumption.per.capita_0.3reduction,percent.change.consumption.per.capita_0.3reduction,damages_0.4reduction,abatement.cost_0.4reduction,net.output_0.4reduction,consumption.per.capita_0.4reduction,percent.change.consumption.per.capita_0.4reduction,temp.increase_0.1reduction,temp.increase_0.2reduction,temp.increase_0.3reduction,temp.increase_0.4reduction,gross.output_0elasticity,temp.increase_0elasticity
2037,0.0374233229149263,0,0,0,199.563191036384,112.260198716615,112.260198716615,0,199.559302175683,112.259542432382,112.259542432382,0.00502308301588217,111.696306419082,9091.17650095087,0.00435272881619279,5.36716486374598e-05,111.765535324808,9096.81117429953,0.000619795836994107,0.00413032848664683,0.000373791071634978,111.754565359959,9095.91830783106,0.000521583414390697,0.00403278987000199,0.00116328050233598,111.676886824071,9089.5959028856,-0.000173860673049756,0.00397989809169141,0.00260323222373514,111.521175199228,9076.92223524089,-0.00156792310747562,1.20453709174836,1.17336105364701,1.15942368873534,1.15179542334152,51871179.6500594,0
2038,0.0375959380434709,0,0,0,204.304115650401,114.219792637347,114.219792637347,0,204.300471293239,114.219181401028,114.219181401028,0.00515719358271777,113.630739055738,9174.14730295606,0.00442505404702862,5.32830066006649e-05,113.708277907721,9180.40751789179,0.000682375672527875,0.00419027044286914,0.000371084411282559,113.69879563176,9179.64195219051,0.000598927513696233,0.0040887370227401,0.00115485706621526,113.620870407832,9173.35054293914,-8.68484002499913e-05,0.00403396791027718,0.00258438194617954,113.463846089141,9160.6729502227,-0.00146873080280987,1.21450319706298,1.18184466588876,1.1674383670727,1.15959301916336,0,0
2039,0.0377246460321568,0,0,0,209.002058465577,115.968792171431,115.968792171431,0,208.998644072141,115.968223805718,115.968223805718,0.0052923031598352,115.35505016618,9247.62232000414,0.00449550935265453,5.30026165364043e-05,115.441306732187,9254.53721574475,0.000747748502406416,0.00424840696721405,0.000369131661455482,115.433301793859,9253.89548704505,0.000678354589302023,0.00414295827999367,0.00114877988574692,115.355115687863,9247.62757265476,5.68000123385623e-07,0.00408635285111014,0.00257078220648403,115.19677225948,9234.93371815572,-0.00137209343216559,1.22413361915745,1.19001498130823,1.17515364669103,1.16709794663375,0,0
2040,0.0378100542927983,0,0,0,213.614986896734,117.493904813658,117.493904813658,0,213.611788902185,117.493377116363,117.493377116363,0.00542837501298959,116.856103836589,9311.19154496699,0.00456407842595016,5.28292681140696e-05,116.951446300518,9318.78851179086,0.000815896310067903,0.00430474399526312,0.000367924392921802,116.944894758831,9318.26647950018,0.000759831273905813,0.00419546125114898,0.00114502272819853,116.86643049733,9312.01438188368,8.83707431761843e-05,0.0041370607221829,0.00256237430006767,116.706762032848,9299.29186583475,-0.00127799745873264,1.23343401741509,1.19787923643734,1.1825764599874,1.17431692516443,0,0
2041,0.0378527951358037,0,0,0,218.102147266066,118.783275892822,118.783275892822,0,218.099152977566,118.782786663655,118.782786663655,0.005565372761457,118.122202684651,9364.49138147406,0.00463074878334806,5.2576726728431e-05,118.226975146663,9372.79753218257,0.000886983646003826,0.00435928921435422,0.000366165592557616,118.221970890774,9372.40080480974,0.000844618571738216,0.00424625491457935,0.00113954914060798,118.14353244383,9366.18236201334,0.000180573666032105,0.0041861006232491,0.00255012530288553,117.983124910162,9353.46557437798,-0.00117740586722023,1.24241012865426,1.205444484323,1.18971353899154,1.18125648121666,0,0
2042,0.0379404350616149,0,0,0,222.42425323588,120.203031968689,120.203031968689,0,222.421450745814,120.202577608226,120.202577608226,0.00570326039167422,119.517482777503,9425.3969559863,0.00469551148152608,5.22827950308575e-05,119.632332701483,9434.45425956,0.000960946644050791,0.00441205190077524,0.000364118533318471,119.628921801312,9434.18526888728,0.000932407721608027,0.00429534950987255,0.00113317845847904,119.550506447766,9428.00127122072,0.000276308281399762,0.0042334828465315,0.00253586875429562,119.389335381807,9415.29098617138,-0.00107220628076569,1.25106774150804,1.21271759570193,1.19657142284007,1.18792295576937,0,0
2043,0.0380704232034726,0,0,0,226.626494945403,121.757782148177,121.757782148177,0,226.623872745042,121.757359503958,121.757359503958,0.00584200226976363,121.046472908506,9494.07622377019,0.00475836085038306,5.19478941841751e-05,121.172089623991,9503.92875927274,0.00103775609868039,0.00446304277317981,0.000361786148352649,121.170321679447,9503.79009352021,0.0010231505963372,0.00434275643783065,0.00112591981010412,121.091928256942,9497.64143746424,0.000375519809407624,0.00427921878397669,0.00251962508192907,120.929969997893,9484.93851420231,-0.0009624643148541,1.25941267401159,1.21970526127965,1.20315646500232,1.19432251143716,0,0
2044,0.0382407178693423,0,0,0,230.750557523462,123.452597027754,123.452597027754,0,230.748104561409,123.452203322535,123.452203322535,0.00598156315300314,122.71415752223,9570.71676129914,0.00481929424180509,5.15725577863827e-05,122.851275871568,9581.4108891063,0.00111738003264299,0.00451227386016756,0.000359172153852459,122.851204366043,9581.40531225074,0.00111679733275803,0.00438848816752253,0.00111778476069808,122.772833334822,9575.29300249567,0.000478150311064762,0.00432332084059447,0.00250142016685232,122.610065026343,9562.59838429008,-0.000848251725710589,1.26745075404728,1.22641399483312,1.20947484024025,1.20046113925642,0,0
2045,0.0384497063020661,0,0,0,234.835073117222,125.293054597084,125.293054597084,0,234.832778836225,125.292687371116,125.292687371116,0.00612190820029846,124.526022018706,9655.52801527219,0.00487831179367124,5.11574336843149e-05,124.675426340046,9667.11256271795,0.00119978394008437,0.00455975838027575,0.000356281061685316,124.677108998881,9667.24303311486,0.0012132964478106,0.0044325581497702,0.00110878735170759,124.598762492626,9661.16818326597,0.000584138742578972,0.00436580235345349,0.00248128543153514,124.435162053408,9648.48289388975,-0.000729646413049627,1.27518780233491,1.23285013691524,1.21553255129459,1.20634466515634,0,0
2046,0.0386961382339607,0,0,0,238.916037816858,127.285272238709,127.285272238709,0,238.913892174248,127.284929302884,127.284929302884,0.00626300298171143,126.48808419915,9748.74230532095,0.00493541620850434,5.07032823030445e-05,126.650612661907,9761.26876669262,0.00128493101769932,0.0046055106328862,0.000353118167759022,126.654111821888,9761.53845540803,0.00131259496725999,0.00447498073652924,0.00109894406460253,126.575793702959,9755.50228872788,0.000693421078864335,0.00440667751593627,0.0024592577588217,126.411339798088,9742.8274288797,-0.000606732258993699,1.28262961768708,1.23901985898615,1.22133543529603,1.21197875613069,0,0
