year,total.factor.productivity,base.case.control.rate,mitigation.policy.control.rate,abatement.cost.bau,capital.stock.bau,gross.output.bau,net.output.bau,abatement.cost.mitigation.policy,capital.stock.mitigation.policy,gross.output.mitigation.policy,net.output.mitigation.policy
2176,0.111869094543978,0,0,0,1745.63245719399,875.987089950509,875.987089950509,0,1745.63245686697,875.987089901278,875.987089901278
2177,0.112610259815296,0,0,0,1763.7863712637,884.849097028932,884.849097028932,0,1763.78637095856,884.849096983007,884.849096983007
2178,0.113355630233887,0,0,0,1782.0745354837,893.773565038464,893.773565038464,0,1782.07453519896,893.773564995622,893.773564995622
2179,0.114105227021404,0,0,0,1800.49726624379,902.760605275025,902.760605275025,0,1800.4972659781,902.76060523506,902.76060523506
2180,0.114859071545253,0,0,0,1819.05487277992,911.810325599806,911.810325599806,0,1819.05487253201,911.810325562526,911.810325562526
2181,0.115617185321304,0,0,0,1837.74765713388,920.922830429144,920.922830429144,0,1837.74765690256,920.922830394368,920.922830394368
2182,0.116379590006689,0,0,0,1856.57591411491,930.098220645805,930.098220645805,0,1856.57591389907,930.098220613366,930.098220613366
2183,0.1171463074146,0,0,0,1875.53993124549,939.336593683313,939.336593683313,0,1875.5399310441,939.336593653054,939.336593653054
2184,0.117917359497743,0,0,0,1894.63998873127,948.638043363792,948.638043363792,0,1894.63998854336,948.638043335566,948.638043335566
2185,0.118692768360301,0,0,0,1913.87635939818,958.00265995862,958.00265995862,0,1913.87635922285,958.002659932291,958.002659932291
2186,0.119472556382374,0,0,0,1933.24930864926,967.430531164311,967.430531164311,0,1933.24930848567,967.430531139752,967.430531139752
2187,0.120256745905223,0,0,0,1952.75909464048,976.921739563697,976.921739563697,0,1952.75909448785,976.921739540789,976.921739540789
2188,0.121045359809647,0,0,0,1972.40596788045,986.476367229476,986.476367229476,0,1972.40596773804,986.476367208109,986.476367208109
2189,0.121838420626864,0,0,0,1992.19017188289,996.094488578102,996.094488578102,0,1992.19017175002,996.094488558172,996.094488558172
2190,0.12263595105986,0,0,0,2012.11194218178,1005.77617440784,1005.77617440784,0,2012.11194205781,1005.77617438925,1005.77617438925
2191,0.123437974119404,0,0,0,2032.17150633333,1015.52149299587,1015.52149299587,0,2032.17150621767,1015.52149297853,1015.52149297853
2192,0.124244512959025,0,0,0,2052.36908415908,1025.33050876803,1025.33050876803,0,2052.36908405118,1025.33050875186,1025.33050875186
2193,0.125055590903348,0,0,0,2072.70488767214,1035.20328249659,1035.20328249659,0,2072.70488757147,1035.2032824815,1035.2032824815
2194,0.125871231419169,0,0,0,2093.17912105418,1045.13987103375,1045.13987103375,0,2093.17912096025,1045.13987101968,1045.13987101968
2195,0.126691458129424,0,0,0,2113.79198057619,1055.14032739027,1055.14032739027,0,2113.79198048856,1055.14032737714,1055.14032737714
2196,0.127516294800592,0,0,0,2134.54365454443,1065.20470059755,1065.20470059755,0,2134.54365446267,1065.20470058531,1065.20470058531
2197,0.128345765359123,0,0,0,2155.43432322145,1075.33303580788,1075.33303580788,0,2155.43432314517,1075.33303579646,1075.33303579646
2198,0.12917989388123,0,0,0,2176.46415877703,1085.52537417732,1085.52537417732,0,2176.46415870588,1085.52537416668,1085.52537416668
2199,0.130018704608907,0,0,0,2197.63332521834,1095.78175296551,1095.78175296551,0,2197.63332515196,1095.78175295558,1095.78175295558
2200,0.130862221929011,0,0,0,2218.94197834892,1106.10220532945,1106.10220532945,0,2218.94197828699,1106.10220532019,1106.10220532019
2201,0.131710470379925,0,0,0,2240.39026568651,1116.48676034224,1116.48676034224,0,2240.39026562874,1116.4867603336,1116.4867603336
2202,0.132559651609693,0,0,0,2261.97832639315,1126.91992463661,1126.91992463661,0,2261.97832633925,1126.91992462855,1126.91992462855
2203,0.133409775810902,0,0,0,2283.70287717389,1137.40128042019,1137.40128042019,0,2283.70287712361,1137.40128041268,1137.40128041268
2204,0.134260847703663,0,0,0,2305.56087114894,1147.93040011456,1147.93040011456,0,2305.56087110204,1147.93040010756,1147.93040010756
2205,0.135112867077204,0,0,0,2327.54947205925,1158.50684648404,1158.50684648404,0,2327.5494720155,1158.50684647751,1158.50684647751
2206,0.135965829263174,0,0,0,2349.66603107982,1169.13017264124,1169.13017264124,0,2349.666031039,1169.13017263515,1169.13017263515
2207,0.136819725576455,0,0,0,2371.90806595291,1179.79992218543,1179.79992218543,0,2371.90806591483,1179.79992217975,1179.79992217975
2208,0.137674543668964,0,0,0,2394.27324223841,1190.51562896764,1190.51562896764,0,2394.27324220289,1190.51562896234,1190.51562896234
2209,0.13853026791622,0,0,0,2416.75935638745,1201.27681746446,1201.27681746446,0,2416.75935635432,1201.27681745952,1201.27681745952
2210,0.139386879698915,0,0,0,2439.36432059089,1212.08300256027,1212.08300256027,0,2439.36432055998,1212.08300255566,1212.08300255566
2211,0.140244357693122,0,0,0,2462.08614909506,1222.93368966676,1222.93368966676,0,2462.08614906623,1222.93368966246,1222.93368966246
